,Unnamed: 0,Destination Name,State,Category,Popular Attraction,Accessibility,Nearest Airport,Nearest Railway Station,Description,Activities,Budget,Best_Time
230,230,Gokarna,Karnataka,Beach,Om Beach,Rail/Road,Hubli Airport,Gokarna Road Railway Station,Gokarna is a popular tourist destination in Karnataka. The beach is located in the north of the city.,"swimming, sunbathing, water sports, nightlife",medium,November to February
231,231,Chikmagalur,Karnataka,Nature,Mullayanagiri Peak,Road,Mangalore International Airport,Kadur Railway Station,The Mullayanagiri Peak is a mountain peak in the Karnataka state of Karnataka.,"sightseeing, photography, relaxation",medium,October to March
232,232,Murudeshwar,Karnataka,Religious,Murudeshwar Temple,Rail/Road,Mangalore International Airport,Murudeshwar Railway Station,"The Murudeshwar Temple is a temple in the city of Murudeshwar, Karnataka.","temple visits, spiritual activities",medium,All year
233,233,Dandeli,Karnataka,Adventure,Kali River Rafting,Road,Hubli Airport,Dharwad Railway Station,Dandeli is a riverside resort in Karnataka. It is located on the banks of the Kali River.,"rafting, trekking, camping, skiing",medium,March to June
234,234,Kabini,Karnataka,Nature,Nagarhole National Park,Road,Mysore Airport,Mysuru Junction,Kabini is a village in the Nagarhole National Park in Karnataka.,"sightseeing, photography, relaxation",medium,October to March
235,235,Bidar,Karnataka,Heritage,Bidar Fort,Road,Rajiv Gandhi International Airport,Bidar Railway Station,Bidar Fort is a fort in Karnataka.,"monument visits, cultural tours",medium,October to March
236,236,Gulbarga,Karnataka,Heritage,Gulbarga Fort,Rail/Road,Rajiv Gandhi International Airport,Gulbarga Railway Station,Gulbarga Fort is a fort in Karnataka.,"monument visits, cultural tours",medium,October to March
237,237,Mangalore,Karnataka,Heritage,Kadri Manjunath Temple,Air/Rail/Road,Mangalore International Airport,Mangalore Central,Mangalore is a city in Karnataka state. It is the capital of Karnataka state. The Kadri Manjunath Temple is a temple in the city.,"monument visits, cultural tours",medium,October to March
238,238,Karwar,Karnataka,Beach,Devbagh Beach,Rail/Road,Dabolim Airport,Karwar Railway Station,Karwar is a popular tourist destination in Karnataka. It is located in the north of Karnataka and is a popular tourist destination.,"swimming, sunbathing, water sports, nightlife",medium,November to February
239,239,Ratnagiri,Maharashtra,Heritage,Thibaw Palace,Rail/Road,Ratnagiri Airport,Ratnagiri Railway Station,"The Thibaw Palace is a major tourist attraction in Ratnagiri, Maharashtra.","monument visits, cultural tours",medium,October to March
240,240,Alibaug,Maharashtra,Beach,Kolaba Fort,Road,Chhatrapati Shivaji Maharaj International Airport,Roha Railway Station,"Alibaug is a city in Maharashtra, India. It is located in the north of the city. The Kolaba Fort is a fort.","swimming, sunbathing, water sports, nightlife",medium,November to February
241,241,Matheran,Maharashtra,Mountains,Echo Point,Rail/Road,Pune Airport,Matheran Railway Station,The Matheran is a small town in the Maharashtra state of Maharashtra. It is located on the banks of the River Ganges. The town is famous for its famous Echo Point.,"trekking, hiking, camping, snow activities",medium,March to June
242,242,Panchgani,Maharashtra,Mountains,Table Land Plateau,Road,Pune Airport,Wathar Railway Station,Panchgani is a village in the Panchgani district of Maharashtra. It is located on the banks of the River Panchgani. The village is located on the banks of the River Panchgani.,"trekking, hiking, camping, snow activities",medium,March to June
243,243,Tarkarli,Maharashtra,Beach,Scuba Diving Spot,Road,Ratnagiri Airport,Kudal Railway Station,The Scuba Diving Spot is a popular tourist spot in Maharashtra.,"swimming, sunbathing, water sports, nightlife",medium,November to February
244,244,Mahaad,Maharashtra,Religious,Ashtavinayak Temple Siddhatek,Road,Pune Airport,Mangaon Railway Station,"Mahaad is a village in Maharashtra state, India. It is located on the banks of the River Siddhatek. The temple is located in the village of Mahaad.","temple visits, spiritual activities",medium,All year
245,245,Wai,Maharashtra,Heritage,Ganpati Temple,Road,Pune Airport,Wathar Railway Station,Wai is a village in the Maharashtra state of Maharashtra. It is located on the banks of the River Ganges. The village is a popular tourist destination. The Ganpati Temple is a temple in the village of Wai.,"monument visits, cultural tours",medium,October to March
246,246,Trimbak,Maharashtra,Religious,Trimbakeshwar Temple,Road,Ozar Airport,Nashik Road,"Trimbak is a village in the district of Trimbak, in Maharashtra. It is located on the banks of the River Ganges. The temple is located on the banks of the River Ganges.","temple visits, spiritual activities",medium,All year
247,247,Murud-Janjira,Maharashtra,Heritage,Janjira Sea Fort,Road,Chhatrapati Shivaji Maharaj International Airport,Roha Railway Station,The Janjira Sea Fort is a fort located in the north of the city of Murud-Janjira.,"monument visits, cultural tours",medium,October to March
248,248,Igatpuri,Maharashtra,Nature,Casvita Lake,Rail/Road,Ozar Airport,Igatpuri Railway Station,"Igatpuri is a village in the district of Igatpuri, Maharashtra. It is located on the banks of Casvita Lake.","sightseeing, photography, relaxation",medium,October to March
249,249,Ashtamudi Lake,Kerala,Nature,Ashtamudi Wetland,Rail/Road,Trivandrum International Airport,Kollam Junction,Ashtamudi Lake is a lake in the Ashtamudi district of Kerala. It is located on the banks of the Ashtamudi River.,"sightseeing, photography, relaxation",high,October to March
250,250,Sabarimala,Kerala,Religious,Ayyappa Temple,Road,Cochin International Airport,Kottayam Railway Station,Sabarimala is a popular tourist destination in Kerala. It is located in the north of the state and is a popular tourist destination. The Ayyappa Temple is a temple located in the north of the state.,"temple visits, spiritual activities",high,All year
251,251,Athirappilly,Kerala,Nature,Athirappilly Falls,Road,Cochin International Airport,Chalakudy Railway Station,"Athirappilly is a village in the district of Athirappilly, Kerala, India. It is located on the banks of the Athirappilly River. The Athirappilly Falls are a waterfall in the district.","sightseeing, photography, relaxation",high,October to March
252,252,Kalpetta,Kerala,Nature,Chembra Peak,Road,Calicut International Airport,Kozhikode Railway Station,The Chembra Peak is a peak in the Himalayan region of Kerala.,"sightseeing, photography, relaxation",high,October to March
253,253,Lakkidi,Kerala,Nature,Vythiri Mountain Resort Area,Road,Calicut International Airport,Kozhikode Railway Station,The Vythiri Mountain Resort Area is a mountain resort area in Kerala.,"sightseeing, photography, relaxation",high,October to March
254,254,Chikhaldhara,Maharashtra,Mountains,Chikhaldara Hill Station,Road,Amravati Airport,Amravati Railway Station,"Chikhaldara Hill Station is a railway station in the city of Chikhaldara, Maharashtra.","trekking, hiking, camping, snow activities",medium,March to June
255,255,Nagpur,Maharashtra,Heritage,Deekshabhoomi,Air/Rail/Road,Dr. Babasaheb Ambedkar International Airport,Nagpur Junction,"Nagpur is a city in Maharashtra, India. It is the capital of Nagpur district. The city is famous for its Deekshabhoomi temple.","monument visits, cultural tours",medium,October to March
256,256,Wardha,Maharashtra,Heritage,Sevagram Ashram,Rail/Road,Dr. Babasaheb Ambedkar International Airport,Wardha Junction,"The Wardha is a village in the district of Wardha, in the Indian state of Maharashtra. It is located on the banks of the Sevagram river. The village is a popular tourist destination.","monument visits, cultural tours",medium,October to March
257,257,Tadoba,Maharashtra,Nature,Tadoba Tiger Reserve,Road,Dr. Babasaheb Ambedkar International Airport,Chandrapur Railway Station,"Tadoba is a village in the district of Tadoba, in Maharashtra. The village is located on the banks of the Tadoba River. The Tadoba Tiger Reserve is a wildlife reserve in the state of Maharashtra.","sightseeing, photography, relaxation",medium,October to March
258,258,Amravati,Maharashtra,Heritage,Ambadevi Temple,Air/Rail/Road,Amravati Airport,Amravati Railway Station,"Amravati is a city in Maharashtra, India. Amravati is the capital city of Amravati. Amravati is the capital city of Maharashtra. Amravati is the capital city of Maharashtra.","monument visits, cultural tours",medium,October to March
259,259,Jawhar,Maharashtra,Nature,Shirpamal Point,Road,Chhatrapati Shivaji Maharaj International Airport,Dahanu Road Railway Station,"Jawhar is a city in Maharashtra, India. It is located on the banks of the Shirpamal River. The city is famous for its temples and shrines.","sightseeing, photography, relaxation",medium,October to March
260,260,Pandharpur,Maharashtra,Religious,Vitthal Rukmini Temple,Rail/Road,Solapur Airport,Pandharpur Railway Station,"The temple is located in the village of Pandharpur, which is a popular tourist destination. The temple is located in the village of Pandharpur, which is a popular tourist destination in Maharashtra.","temple visits, spiritual activities",medium,All year
261,261,Solapur,Maharashtra,Heritage,Siddheshwar Temple,Air/Rail/Road,Solapur Airport,Solapur Junction,"The Siddheshwar Temple is located in Solapur, Maharashtra.","monument visits, cultural tours",medium,October to March
262,262,Karad,Maharashtra,Heritage,Priyadarshini Park,Rail/Road,Kolhapur Airport,Karad Railway Station,"Priyadarshini Park is a park in Karad, Maharashtra.","monument visits, cultural tours",medium,October to March
263,263,Satara,Maharashtra,Heritage,Ajinkyatara Fort,Rail/Road,Pune Airport,Satara Railway Station,"Satara is a city in Maharashtra, India. It is the location of Ajinkyatara Fort.","monument visits, cultural tours",medium,October to March
264,264,Latur,Maharashtra,Heritage,Udgir Fort,Rail/Road,Latur Airport,Latur Railway Station,The Udgir Fort is a fort in the Maharashtra state of Maharashtra.,"monument visits, cultural tours",medium,October to March
265,265,Jalna,Maharashtra,Heritage,Jalna Fort,Rail/Road,Aurangabad Airport,Jalna Railway Station,Jalna Fort is a fort in the Jalna district of Maharashtra.,"monument visits, cultural tours",medium,October to March
266,266,Bhusawal,Maharashtra,Heritage,Rajas Falls,Rail/Road,Aurangabad Airport,Bhusawal Junction,Bhusawal is a village in the Rajas district of Maharashtra. It is located on the banks of the Rajas River.,"monument visits, cultural tours",medium,October to March
267,267,Nanded,Maharashtra,Religious,Hazur Sahib Gurudwara,Air/Rail/Road,Nanded Airport,Nanded Railway Station,"Nanded is a village in the district of Maharashtra, India. It is located on the banks of the Hazur River. The village is famous for its Hazur Sahib Gurudwara.","temple visits, spiritual activities",medium,All year
268,268,Osmanabad,Maharashtra,Heritage,Terna Fort,Road,Solapur Airport,Osmanabad Railway Station,The Terna Fort is a fort in the city of Osmanabad in Maharashtra.,"monument visits, cultural tours",medium,October to March
269,269,Alibag,Maharashtra,Beach,Alibag Beach,Road,Chhatrapati Shivaji Maharaj International Airport,Pen Railway Station,Alibag is a popular tourist destination in Maharashtra. It is located in the north of the city and is a popular tourist destination.,"swimming, sunbathing, water sports, nightlife",medium,November to February
270,270,Hrishikesh,Uttarakhand,Adventure,River Rafting on Ganga,Rail/Road,Jolly Grant Airport,Haridwar Junction,Hrishikesh is a riverside resort in Uttarakhand. It is located on the Ganga River.,"rafting, trekking, camping, skiing",medium,March to June
271,271,Pithoragarh,Uttarakhand,Mountains,Pithoragarh Fort,Air/Road,Pithoragarh Airport,Tanakpur Railway Station,Pithoragarh Fort is a fort in Uttarakhand.,"trekking, hiking, camping, snow activities",medium,March to June
272,272,Almora,Uttarakhand,Mountains,Kasar Devi Temple,Road,Pantnagar Airport,Kathgodam Railway Station,The Kasar Devi Temple is a temple in the district of Almora in Uttarakhand.,"trekking, hiking, camping, snow activities",medium,March to June
273,273,Ranikhet,Uttarakhand,Mountains,Chaubatia Gardens,Road,Pantnagar Airport,Kathgodam Railway Station,The Chaubatia Gardens are a popular tourist attraction in Uttarakhand.,"trekking, hiking, camping, snow activities",medium,March to June
274,274,Chamoli,Uttarakhand,Religious,Gopinath Temple,Road,Jolly Grant Airport,Haridwar Junction,"Chamoli is a village in the district of Gopinath, in the Indian state of Uttarakhand. The village is located on the banks of the Ganges River.","temple visits, spiritual activities",medium,All year
275,275,Chakrata,Uttarakhand,Nature,Tiger Falls,Road,Jolly Grant Airport,Dehradun Railway Station,Chakrata is a village in the Uttarakhand state of Uttar Pradesh. It is located on the banks of the Ganges River. The village is located on the banks of the Ganges River. The village is located on the banks of the Ganges River.,"sightseeing, photography, relaxation",medium,October to March
276,276,Munsiyari,Uttarakhand,Mountains,Milam Glacier,Road,Pithoragarh Airport,Tanakpur Railway Station,"Munsiyari is a village in the district of Munsiyari, Uttarakhand. The village is located on the banks of the Milam Glacier.","trekking, hiking, camping, snow activities",medium,March to June
277,277,Chamba,Himachal Pradesh,Heritage,Chamba Chaugan,Road,Kangra Airport,Pathankot Junction,Chamba is a village in Himachal Pradesh state in India. It is located on the banks of the Ganges River. Chamba Chaugan is a village in Chamba.,"monument visits, cultural tours",medium,October to March
278,278,Palampur,Himachal Pradesh,Nature,Neugal Khad,Road,Gaggal Airport,Pathankot Junction,Palampur is a village in the Himachal Pradesh state of Himachal Pradesh. It is located on the banks of the River Ganges. The village is a popular tourist destination.,"sightseeing, photography, relaxation",medium,October to March
279,279,Kangra,Himachal Pradesh,Religious,Kangra Devi Temple,Air/Road,Gaggal Airport,Kangra Mandir Railway Station,Kangra Devi Temple is a temple in Himachal Pradesh.,"temple visits, spiritual activities",medium,All year
280,280,Mandi,Himachal Pradesh,Religious,Bhutnath Temple,Road,Kullu Manali Airport,Joginder Nagar Railway Station,Mandi is a village in the Himachal Pradesh state of Himachal Pradesh. It is located on the banks of the Bhutnath river. The Bhutnath Temple is a temple located in the village of Mandi.,"temple visits, spiritual activities",medium,All year
281,281,Nahan,Himachal Pradesh,Nature,Suketi Fossil Park,Road,Chandigarh Airport,Nahan Railway Station,The Nahan is a small village in the Himachal Pradesh state of Himachal Pradesh. It is located on the banks of the Suketi River. The village is a popular tourist destination.,"sightseeing, photography, relaxation",medium,October to March
282,282,Bilaspur,Himachal Pradesh,Heritage,Govind Sagar Lake,Road,Chandigarh Airport,Kiratpur Sahib Railway Station,Bilaspur is a city in Himachal Pradesh state. It is located on the banks of the Govind Sagar Lake.,"monument visits, cultural tours",medium,October to March
283,283,Hamirpur,Himachal Pradesh,Heritage,Awahdevi Temple,Road,Gaggal Airport,Una Himachal Railway Station,Hamirpur is a city in Himachal Pradesh. It is the capital of the state of Himachal Pradesh. The Awahdevi Temple is a temple in the city.,"monument visits, cultural tours",medium,October to March
284,284,Solan,Himachal Pradesh,Mountains,Shoolini Devi Temple,Rail/Road,Chandigarh Airport,Solan Railway Station,The Shoolini Devi Temple is a temple in the Himachal Pradesh state of Himachal Pradesh.,"trekking, hiking, camping, snow activities",medium,March to June
285,285,Kufri,Himachal Pradesh,Adventure,Himachal Nature Park,Road,Shimla Airport,Shimla Railway Station,Kufri is a village in Himachal Pradesh state. It is located on the banks of the Himachal River. The village is a popular tourist destination.,"rafting, trekking, camping, skiing",medium,March to June
286,286,Narkanda,Himachal Pradesh,Adventure,Hatu Peak,Road,Shimla Airport,Shimla Railway Station,Narkanda is a mountain in Himachal Pradesh. It is located in the Himalayan region of Himachal Pradesh. The peak is located in the Himalayan region of Himachal Pradesh.,"rafting, trekking, camping, skiing",medium,March to June
287,287,Mashobra,Himachal Pradesh,Mountains,Sipur Temple,Road,Shimla Airport,Shimla Railway Station,The Sipur Temple is a temple in Himachal Pradesh.,"trekking, hiking, camping, snow activities",medium,March to June
288,288,Sarahan,Himachal Pradesh,Religious,Bhimakali Temple,Road,Shimla Airport,Rampur Bushahr,The Bhimakali Temple is a temple in the Himachal Pradesh state of Himachal Pradesh. It is located in the village of Sarahan.,"temple visits, spiritual activities",medium,All year
289,289,Kalpa,Himachal Pradesh,Mountains,Kinnaur Kailash Glacier,Road,Shimla Airport,Shimla Railway Station,The Kinnaur Kailash Glacier is a glacier in Himachal Pradesh.,"trekking, hiking, camping, snow activities",medium,March to June
290,290,Tabo,Himachal Pradesh,Religious,Tabo Monastery,Road,Kullu Manali Airport,Shimla Railway Station,The Tabo Monastery is a Buddhist monastery in the Himachal Pradesh state of Himachal Pradesh.,"temple visits, spiritual activities",medium,All year
291,291,Kinnaur,Himachal Pradesh,Adventure,Kinnaur Kailash Parikrama,Road,Shimla Airport,Rampur Bushahr,Kinnaur is a village in Himachal Pradesh state. It is located on the banks of the Ganges River. The village is a popular tourist destination.,"rafting, trekking, camping, skiing",medium,March to June
292,292,Roorkee,Uttarakhand,Heritage,IIT Roorkee,Rail/Road,Jolly Grant Airport,Roorkee Railway Station,"Roorkee is a city in Uttarakhand, India. It is the capital of the state of Uttarakhand. The city is the home of IIT Roorkee.","monument visits, cultural tours",medium,October to March
293,293,Kashipur,Uttarakhand,Religious,Moteshwar Mahadev Temple,Road,Pantnagar Airport,Kashipur Railway Station,"The Moteshwar Mahadev Temple is located in Kashipur, Uttarakhand.","temple visits, spiritual activities",medium,All year
294,294,Haldwani,Uttarakhand,Nature,Kathgodam Gateway,Rail/Road,Pantnagar Airport,Haldwani Railway Station,Kathgodam Gateway is a gateway in the Himalayan region of Uttarakhand.,"sightseeing, photography, relaxation",medium,October to March
295,295,Bhimtal,Uttarakhand,Nature,Bhimtal Lake,Road,Pantnagar Airport,Kathgodam Railway Station,Bhimtal is a village in the Himalayan state of Uttarakhand. It is located on the banks of the Bhimtal River. The village is located on the banks of the Bhimtal Lake.,"sightseeing, photography, relaxation",medium,October to March
296,296,Sattal,Uttarakhand,Nature,Seven Lakes,Road,Pantnagar Airport,Kathgodam Railway Station,"Sattal is a village in the district of Sattal, Uttarakhand. It is located on the banks of the Seven Lakes.","sightseeing, photography, relaxation",medium,October to March
297,297,Gangotri,Uttarakhand,Religious,Gangotri Temple,Road,Jolly Grant Airport,Haridwar Junction,Gangotri is a village in the Uttarakhand state of India. It is located on the banks of the Gangotri River. The Gangotri Temple is a temple located in the village of Gangotri.,"temple visits, spiritual activities",medium,All year
298,298,Yamunotri,Uttarakhand,Religious,Yamuna River Source,Road,Jolly Grant Airport,Haridwar Junction,Yamunotri is a village in the Uttarakhand state of Uttar Pradesh. It is located on the banks of the Yamuna River.,"temple visits, spiritual activities",medium,All year
299,299,Kathgodam,Uttarakhand,Nature,Gateway to Kumaon,Rail/Road,Pantnagar Airport,Kathgodam Railway Station,"Kathgodam is a city in Uttarakhand, India. It is the gateway to Kumaon.","sightseeing, photography, relaxation",medium,October to March
300,300,Sitapur,Uttar Pradesh,Religious,Naimisharanya Temple,Road,Chaudhary Charan Singh Airport,Sitapur City,Sitapur is a city in Uttar Pradesh state. It is the capital of the state and is the largest city in the state. The Naimisharanya Temple is located in Sitapur.,"temple visits, spiritual activities",low,All year
301,301,Gorakhpur,Uttar Pradesh,Religious,Gorakhnath Temple,Air/Rail/Road,Gorakhpur Airport,Gorakhpur Junction,Gorakhpur is a city in Uttar Pradesh state. It is the capital of Uttar Pradesh state. The city is the location of the Gorakhnath Temple.,"temple visits, spiritual activities",low,All year
302,302,Kushinagar,Uttar Pradesh,Religious,Mahaparinirvana Temple,Air/Road,Kushinagar International Airport,Deoria Sadar Railway Station,Kushinagar is a city in Uttar Pradesh state. It is the location of Mahaparinirvana Temple.,"temple visits, spiritual activities",low,All year
303,303,Chitrakoot,Uttar Pradesh,Religious,Kamadgiri Temple,Rail/Road,Khajuraho Airport,Chitrakoot Dham Karwi,"The Kamadgiri Temple is a temple in the district of Chitrakoot, Uttar Pradesh.","temple visits, spiritual activities",low,All year
304,304,Sarnath,Uttar Pradesh,Heritage,Dhamek Stupa,Road,Lal Bahadur Shastri Airport,Varanasi Junction,Sarnath is a popular tourist destination in Uttar Pradesh. It is also known for its Dhamek Stupa.,"monument visits, cultural tours",low,October to March
305,305,Aligarh,Uttar Pradesh,Heritage,Aligarh Muslim University,Rail/Road,Agra Airport,Aligarh Junction,Aligarh is a city in Uttar Pradesh state. It is the capital city of Uttar Pradesh. The city is the home of Aligarh Muslim University.,"monument visits, cultural tours",low,October to March
306,306,Meerut,Uttar Pradesh,Heritage,Augarnath Temple,Rail/Road,Indira Gandhi International Airport,Meerut City Junction,"Meerut is a city in Uttar Pradesh, India. It is the capital of the state of Uttar Pradesh. The city is the location of the Augarnath Temple.","monument visits, cultural tours",low,October to March
307,307,Bareilly,Uttar Pradesh,Heritage,Dargah Ala Hazrat,Air/Rail/Road,Bareilly Airport,Bareilly Junction,"Bareilly is a city in Uttar Pradesh, India. It is the capital of the state of Uttar Pradesh. The Dargah Ala Hazrat is a shrine to the goddess of war.","monument visits, cultural tours",low,October to March
308,308,Moradabad,Uttar Pradesh,Heritage,Moradabad Jama Masjid,Rail/Road,Chaudhary Charan Singh Airport,Moradabad Junction,Moradabad Jama Masjid is a mosque in Uttar Pradesh.,"monument visits, cultural tours",low,October to March
309,309,Jhansi,Uttar Pradesh,Heritage,Jhansi Fort,Rail/Road,Gwalior Airport,Jhansi Junction,Jhansi Fort is a fort located in the Jhansi district of Uttar Pradesh.,"monument visits, cultural tours",low,October to March
310,310,Vindhyachal,Uttar Pradesh,Religious,Vindhyavasini Temple,Rail/Road,Lal Bahadur Shastri Airport,Vindhyachal Railway Station,Vindhyachal is a village in the district of Uttar Pradesh. It is located on the banks of the Ganges. The village is famous for its temple of Vindhyavasini.,"temple visits, spiritual activities",low,All year
311,311,Dudhwa National Park,Uttar Pradesh,Nature,Tiger and Rhinoceros Safari,Road,Chaudhary Charan Singh Airport,Palia Kalan Railway Station,Dudhwa National Park is a national park in Uttar Pradesh. It is a popular tourist destination for tourists.,"sightseeing, photography, relaxation",low,October to March
312,312,Bateshwar,Uttar Pradesh,Religious,Bateshwar Temples,Road,Agra Airport,Agra Cantonment,"Bateshwar is a village in the district of Bateshwar, Uttar Pradesh. It is located on the banks of the River Bateshwar. The Bateshwar Temple is a temple located in the village of Bateshwar.","temple visits, spiritual activities",low,All year
313,313,Shravasti,Uttar Pradesh,Heritage,Jetavana Monastery,Road,Gorakhpur Airport,Balrampur Railway Station,"Shravasti is a village in the district of Shravasti, Uttar Pradesh, India. It is located on the banks of the Ganges. The village is the location of the Jetavana Monastery.","monument visits, cultural tours",low,October to March
314,314,Kaushambi,Uttar Pradesh,Heritage,Ashoka Pillar Kaushambi,Road,Bamrauli Airport,Kaushambi Railway Station,"Kaushambi is a village in the district of Kaushambi, Uttar Pradesh, India. It is located on the banks of the Ashoka River.","monument visits, cultural tours",low,October to March
315,315,Nadia,West Bengal,Religious,Nabadwip Dham,Rail/Road,Netaji Subhas Chandra Bose International Airport,Krishnanagar City Junction,"Nadia is a village in the district of Nadia, in the Central District of West Bengal. It is located on the banks of the River Nabadwip.","temple visits, spiritual activities",low,All year
316,316,Bankura,West Bengal,Heritage,Bishnupur Terracotta Temples,Rail/Road,Netaji Subhas Chandra Bose International Airport,Bankura Railway Station,"Bishnupur is a village in the district of Bankura, in the Indian state of West Bengal. It is located on the banks of the Bishnupur River. The Bishnupur terracotta temples are a traditional Hindu temple.","monument visits, cultural tours",low,October to March
317,317,Medinipur,West Bengal,Heritage,Medinipur Fort,Rail/Road,Netaji Subhas Chandra Bose International Airport,Medinipur Railway Station,The Medinipur Fort is a fort in the West Bengal state of West Bengal.,"monument visits, cultural tours",low,October to March
318,318,Tarapith,West Bengal,Religious,Tara Devi Temple,Rail/Road,Netaji Subhas Chandra Bose International Airport,Rampurhat Railway Station,"Tarapith is a village in the district of Tarapith, in the Central District of West Bengal. It is located on the banks of the River Tarapith. The village is a popular tourist destination.","temple visits, spiritual activities",low,All year
319,319,Mayapur,West Bengal,Religious,ISKCON Chandrodaya Temple,Road,Netaji Subhas Chandra Bose International Airport,Krishnanagar City Junction,"ISKCON Chandrodaya Temple is a temple in Mayapur, West Bengal.","temple visits, spiritual activities",low,All year
320,320,Haldia,West Bengal,Heritage,Haldia Dock Complex,Rail/Road,Netaji Subhas Chandra Bose International Airport,Haldia Railway Station,"Haldia is a city in West Bengal, India. It is the capital of the state of West Bengal. The city is the location of the Haldia Dock Complex.","monument visits, cultural tours",low,October to March
321,321,Durgapur,West Bengal,Heritage,Durgapur Steel Plant,Rail/Road,Netaji Subhas Chandra Bose International Airport,Durgapur Railway Station,"Durgapur is a city in West Bengal, India.","monument visits, cultural tours",low,October to March
322,322,Asansol,West Bengal,Heritage,Kanksa Rock,Rail/Road,Netaji Subhas Chandra Bose International Airport,Asansol Junction,Asansol is a village in the Asansol district of West Bengal. It is located on the banks of the Ganges River. The village is a popular tourist destination.,"monument visits, cultural tours",low,October to March
323,323,Hooghly,West Bengal,Heritage,Imambara Hooghly,Rail/Road,Netaji Subhas Chandra Bose International Airport,Hooghly Railway Station,"Hooghly is a village in the district of Hooghly, West Bengal, India.","monument visits, cultural tours",low,October to March
324,324,Bolpur,West Bengal,Heritage,Tagore Ashram Shantiniketan,Rail/Road,Netaji Subhas Chandra Bose International Airport,Bolpur Shantiniketan,The Bolpur is a city in the West Bengal state of West Bengal. The city is the capital of the state of West Bengal. The Bolpur is the capital of the state of West Bengal.,"monument visits, cultural tours",low,October to March
325,325,Malda,West Bengal,Heritage,Gaur Ruins,Rail/Road,Malda Airport,Malda Town Railway Station,"Malda is a village in the district of Malda, in the Central District of West Bengal. The village is located on the banks of the Gaur River.","monument visits, cultural tours",low,October to March
326,326,Jalpaiguri,West Bengal,Nature,Gorumara National Park,Rail/Road,Bagdogra Airport,Jalpaiguri Road,Gorumara National Park is a national park in the Indian state of West Bengal.,"sightseeing, photography, relaxation",low,October to March
327,327,Kurseong,West Bengal,Mountains,Eagle's Craig,Rail/Road,Bagdogra Airport,Kurseong Railway Station,"The city is famous for its 'Cake', a samurai sword.","trekking, hiking, camping, snow activities",low,March to June
328,328,Tinsukia,Assam,Nature,Dibru-Saikhowa Biosphere,Air/Rail/Road,Dibrugarh Airport,Tinsukia Junction,Tinsukia is a village in the Assam state of Assam. It is located on the banks of the Dibru River.,"sightseeing, photography, relaxation",low,October to March
329,329,Sibsagar,Assam,Heritage,Shiva Dol Temple,Road,Jorhat Airport,Sibsagar Town,Sibsagar is a popular tourist spot in Assam. It is located in the heart of the city and is a popular tourist spot. The temple is located in the heart of the city.,"monument visits, cultural tours",low,October to March
330,330,Barpeta,Assam,Religious,Barpeta Satra,Road,Lokpriya Gopinath Bordoloi International Airport,Barpeta Road Railway Station,Barpeta is a village in the Assam state of Assam. It is located on the banks of the River Barpeta. The village is famous for its Barpeta Satra.,"temple visits, spiritual activities",low,All year
331,331,Hailakandi,Assam,Nature,Sonai Rupai Wildlife Sanctuary,Road,Silchar Airport,Jiribam Railway Station,Hailakandi is a village in the Assam state of Assam. It is located on the banks of the Sonai River. The village is a popular tourist destination.,"sightseeing, photography, relaxation",low,October to March
332,332,Karimganj,Assam,Heritage,Bhuban Temple,Rail/Road,Silchar Airport,Karimganj Railway Station,Bhuban Temple is a temple in Assam.,"monument visits, cultural tours",low,October to March
333,333,Silchar,Assam,Heritage,Khaspur Palace Ruins,Air/Rail/Road,Silchar Airport,Silchar Railway Station,The Khaspur Palace Ruins are a place of worship in Assam.,"monument visits, cultural tours",low,October to March
334,334,Morigaon,Assam,Nature,Pobitora Wildlife Sanctuary,Road,Lokpriya Gopinath Bordoloi International Airport,Morigaon Railway Station,The Pobitora Wildlife Sanctuary is a wildlife sanctuary in Assam.,"sightseeing, photography, relaxation",low,October to March
335,335,Nagaon,Assam,Heritage,Batadrava Than,Rail/Road,Jorhat Airport,Nagaon Railway Station,Nagaon is a town in Assam known for Batadrava Than.,"monument visits, cultural tours",low,October to March
336,336,Dhubri,Assam,Religious,Guru Teg Bahadur Gurudwara,Rail/Road,Lokpriya Gopinath Bordoloi International Airport,Dhubri Railway Station,The Guru Teg Bahadur Gurudwara is a temple in Assam.,"temple visits, spiritual activities",low,All year
337,337,Kokrajhar,Assam,Nature,Manas National Park Buffer Zone,Rail/Road,Lokpriya Gopinath Bordoloi International Airport,Kokrajhar Railway Station,Kokrajhar is a village in the Assam state of Assam. It is located in the Buffer Zone of the Manas National Park.,"sightseeing, photography, relaxation",low,October to March
338,338,Manas National Park,Assam,Nature,Tiger Reserve Safari,Road,Lokpriya Gopinath Bordoloi International Airport,Barpeta Road Railway Station,Manas National Park is a national park in Assam. It is a national park in the Assam region.,"sightseeing, photography, relaxation",low,October to March
339,339,Nongpoh,Meghalaya,Nature,Umiam Lake Viewpoint,Road,Shillong Airport,Guwahati Railway Station,"The Umiam Lake Viewpoint is a landmark in the city of Nongpoh, Meghalaya.","sightseeing, photography, relaxation",low,October to March
340,340,Jowai,Meghalaya,Nature,Tyrshi Falls,Road,Shillong Airport,Guwahati Railway Station,Jowai is a village in the Meghalayan state of Meghalaya. It is located on the banks of the River Meghalaya. The village is a popular tourist destination.,"sightseeing, photography, relaxation",low,October to March
